rmsd_target,rmsd_actual,rep,pdb_file,nll_i_work,nll_i_free,delta_nll_i_work,delta_nll_i_free,nll_f_work,nll_f_free,delta_nll_f_work,delta_nll_f_free,r_work,r_free,r_int_work,r_int_free,cc_work_i,cc_free_i,geom_energy,delta_geom_energy,grad_norm_i,grad_norm_f,cos_sim_i,cos_sim_f
0.25,0.25,6,6czg_rmsd_0.25_rep_06.pdb,0.7630323171615601,0.8914855122566223,0.4649328291416168,0.4531158208847046,4.807164192199707,4.9346418380737305,0.46917200088500977,0.4615635871887207,0.4235750738554216,0.44581057443614813,0.6168518313488519,0.660350139826041,0.8889178843137165,0.8014796074190428,1571094.6101656742,1568937.1305074783,0.08319154568505643,0.08449000098737314,0.5472801422710962,0.5483328492958293
0.25,0.25,7,6czg_rmsd_0.25_rep_07.pdb,0.7467078566551208,0.8908613324165344,0.4486083686351776,0.4524916410446167,4.792624473571777,4.929582595825195,0.4546322822570801,0.45650434494018555,0.4149503429750626,0.45646675257653896,0.6069852402135848,0.6767531645382884,0.8911941207088815,0.8042315569976628,1592005.9464631642,1589848.4668049682,0.07824565245383899,0.07979391095400368,0.5328637352709192,0.5349499418624052
0.25,0.25,8,6czg_rmsd_0.25_rep_08.pdb,0.7687594890594482,0.8464705944061279,0.470660001039505,0.4081009030342102,4.817310333251953,4.887296199798584,0.47931814193725586,0.4142179489135742,0.42076815849846505,0.43958433970695043,0.6161960557523315,0.6537490104992961,0.8853512592845014,0.8379722553733325,1596915.9577067373,1594758.4780485414,0.0854470786665006,0.08740896445056677,0.5250040528056398,0.5285814069316875
0.25,0.25,9,6czg_rmsd_0.25_rep_09.pdb,0.7396618127822876,0.851036787033081,0.44156232476234436,0.41266709566116333,4.784090042114258,4.891145706176758,0.44609785079956055,0.41806745529174805,0.4160602510893946,0.42582115291640293,0.6001146053993942,0.6042922903264537,0.8914920307938623,0.8387468369742543,1583924.3466463708,1581766.8669881749,0.0772178664135479,0.07842952000197961,0.5402356447275505,0.5411905491389212
0.25,0.24999999999999997,10,6czg_rmsd_0.25_rep_10.pdb,0.7533044219017029,0.8452456593513489,0.45520493388175964,0.40687596797943115,4.799009323120117,4.892189979553223,0.4610171318054199,0.4191117286682129,0.4177003480493266,0.4350462880207911,0.6115781412054033,0.6250428265980391,0.8820544493151803,0.8406957459695886,1628723.4341682086,1626565.9545100126,0.08132564039660901,0.08281208005020303,0.5354208058216015,0.5359667184392201
0.25,0.25,11,6czg_rmsd_0.25_rep_11.pdb,0.7274466753005981,0.8629512786865234,0.4293471872806549,0.4245815873146057,4.77183723449707,4.902527332305908,0.43384504318237305,0.42944908142089844,0.4124859573957731,0.4263375101914452,0.5935483789167006,0.6339434663577367,0.8962422555228794,0.8155774937954942,1527441.8953435374,1525284.4156853415,0.0789010982425618,0.08013727254842046,0.5294351401761829,0.529671528929136
0.25,0.25,12,6czg_rmsd_0.25_rep_12.pdb,0.7494751811027527,0.8018250465393066,0.45137569308280945,0.3634553551673889,4.795281410217285,4.841536521911621,0.4572892189025879,0.36845827102661133,0.41848675581614453,0.43139528676902067,0.6057798008317141,0.6303205634844006,0.8843050383525266,0.8507011016641208,1648766.216385147,1646608.736726951,0.08153075542364437,0.08321430506124822,0.5418836610931914,0.5432091380927182
0.25,0.25,13,6czg_rmsd_0.25_rep_13.pdb,0.7490638494491577,0.8711991310119629,0.4509643614292145,0.43282943964004517,4.794551849365234,4.910277843475342,0.4565596580505371,0.43719959259033203,0.418761068376417,0.4459309706406922,0.6104017114746267,0.6312715216095599,0.8900566745974839,0.8434611351992293,1635501.9945708637,1633344.5149126677,0.0842699767809831,0.08567692147703745,0.5216403695371491,0.5224675301959779
0.25,0.25,14,6czg_rmsd_0.25_rep_14.pdb,0.7463635206222534,0.9282875061035156,0.4482640326023102,0.4899178147315979,4.792576789855957,4.96806526184082,0.45458459854125977,0.49498701095581055,0.41928961733004183,0.46303599666687206,0.6164599904651695,0.6684492119226512,0.8872107725981784,0.8253077394540328,1593159.726935704,1591002.247277508,0.07858158484842978,0.08039149563760514,0.5362998564728608,0.5383618123674792
0.25,0.24999999999999997,15,6czg_rmsd_0.25_rep_15.pdb,0.7270303964614868,0.8262090682983398,0.4289309084415436,0.3878393769264221,4.772896766662598,4.8669867515563965,0.4349045753479004,0.3939085006713867,0.4127961335008768,0.4279889015383481,0.6031027864152873,0.6176592015149684,0.8863371366877827,0.8452572831447674,1605609.4217759944,1603451.9421177984,0.07855266708787131,0.08027405733900317,0.5134249286842976,0.5159142529234303
0.25,0.24999999999999994,16,6czg_rmsd_0.25_rep_16.pdb,0.7428590059280396,0.8815922141075134,0.4447595179080963,0.4432225227355957,4.788208961486816,4.926741600036621,0.45021677017211914,0.45366334915161133,0.4202006693307311,0.4331051952098472,0.6090354985228745,0.6132829252411423,0.8848386476185913,0.8293666497089052,1618783.827792268,1616626.348134072,0.08065277328251227,0.08202295632756088,0.5360591224630649,0.5381660179713916
0.25,0.25,17,6czg_rmsd_0.25_rep_17.pdb,0.7837701439857483,0.8719959855079651,0.48567065596580505,0.43362629413604736,4.829277515411377,4.9183573722839355,0.4912853240966797,0.4452791213989258,0.4254740309177569,0.44659141112409706,0.6127615340511375,0.6638199229987407,0.8916844570969251,0.8190699014241765,1651444.3872909583,1649286.9076327623,0.08387260439520071,0.08536295961184304,0.5333648348809584,0.5346741176314282
0.25,0.25,18,6czg_rmsd_0.25_rep_18.pdb,0.7440218329429626,0.8041727542877197,0.4459223449230194,0.365803062915802,4.78978157043457,4.841189861297607,0.45178937911987305,0.36811161041259766,0.41757435406766324,0.4287344143625127,0.599809441807806,0.6262838253287953,0.8915897192433463,0.8446190245401246,1635261.5267597837,1633104.0471015878,0.08013055602443642,0.08192046388260439,0.5309604096468967,0.5308147951512119
0.25,0.24999999999999994,19,6czg_rmsd_0.25_rep_19.pdb,0.7441167235374451,0.9389551877975464,0.44601723551750183,0.5005854964256287,4.788901329040527,4.980135440826416,0.4509091377258301,0.5070571899414062,0.4175361050853745,0.4664339218240139,0.6082408756028429,0.6891929938106497,0.8879343346049062,0.8224596801324268,1555886.309717972,1553728.830059776,0.08264643221748522,0.08375648816402846,0.5277632921927095,0.5291769059226507
0.25,0.24999999999999997,20,6czg_rmsd_0.25_rep_20.pdb,0.7421955466270447,0.8345610499382019,0.44409605860710144,0.3961913585662842,4.787259578704834,4.8756914138793945,0.4492673873901367,0.40261316299438477,0.4168823974695841,0.4323017079434706,0.6047748148420083,0.6302189664245982,0.8917846673975734,0.8614020969357692,1542129.927341654,1539972.447683458,0.07959943609497404,0.08121815527156548,0.5327000672883434,0.5334723478029787
0.25,0.25,21,6czg_rmsd_0.25_rep_21.pdb,0.7693910598754883,0.883331835269928,0.47129157185554504,0.44496214389801025,4.815138816833496,4.932341575622559,0.47714662551879883,0.45926332473754883,0.42154976589369036,0.4517993282925439,0.6100624631066128,0.676703477621435,0.8878894782346426,0.819451806229554,1548604.0541328278,1546446.5744746318,0.08168963128034319,0.08337880828878706,0.5473737122326209,0.5503730272546284
0.25,0.25,22,6czg_rmsd_0.25_rep_22.pdb,0.7378291487693787,0.9199495911598206,0.4397296607494354,0.48157989978790283,4.782379627227783,4.9594502449035645,0.44438743591308594,0.4863719940185547,0.41338667475638285,0.4649305876084467,0.6076273911678594,0.6891503254160429,0.8919027194945633,0.821760031388841,1599498.5759537467,1597341.0962955507,0.08147667430318238,0.08310857893683427,0.5217337710974818,0.5214069645931667
0.25,0.25000000000000006,23,6czg_rmsd_0.25_rep_23.pdb,0.7406775951385498,0.9096807241439819,0.44257810711860657,0.4713110327720642,4.787045955657959,4.95605993270874,0.4490537643432617,0.48298168182373047,0.4144446676480576,0.45790652366454093,0.6128175692495482,0.6927518875475339,0.8825653765124598,0.7962314339542198,1553016.1521630476,1550858.6725048516,0.08207004406091623,0.08393765115350199,0.5238445245126254,0.5260655927776496
0.25,0.25,24,6czg_rmsd_0.25_rep_24.pdb,0.7690505385398865,0.8603880405426025,0.47095105051994324,0.4220183491706848,4.815692901611328,4.897926330566406,0.47770071029663086,0.4248480796813965,0.4274581593644553,0.4472342745755586,0.623069735640866,0.6486864682370584,0.8873638900449564,0.8515718056629012,1598780.5928214104,1596623.1131632144,0.08478771935755992,0.08624440477929823,0.525553855487139,0.527689348344363
0.25,0.24999999999999997,25,6czg_rmsd_0.25_rep_25.pdb,0.7316733002662659,0.8641878366470337,0.43357381224632263,0.42581814527511597,4.776135444641113,4.901268482208252,0.438143253326416,0.4281902313232422,0.4121266738505651,0.45413538943047166,0.6116092791363912,0.6763562646374855,0.8821269359053764,0.8184075226844394,1511264.1857698443,1509106.7061116484,0.07889550445756803,0.08022212025672851,0.5331217897433738,0.5347747327019076
0.25,0.24999999999999994,26,6czg_rmsd_0.25_rep_26.pdb,0.739697277545929,0.8990471959114075,0.4415977895259857,0.46067750453948975,4.7855353355407715,4.949872016906738,0.4475431442260742,0.4767937660217285,0.4155211626616443,0.452091292549531,0.6090743194492524,0.6870374145845936,0.8846509853915538,0.811734279771192,1530405.9043601276,1528248.4247019317,0.08068610205949966,0.08206254482485292,0.5374623387534059,0.5384293338037516
0.25,0.24999999999999997,27,6czg_rmsd_0.25_rep_27.pdb,0.7576213479042053,0.8908854722976685,0.4595218598842621,0.45251578092575073,4.803091049194336,4.9425859451293945,0.46509885787963867,0.46950769424438477,0.4188768441328346,0.45729706035334594,0.6121875480986916,0.6796903497022461,0.8855161292307042,0.7841549970675636,1557792.6881761202,1555635.2085179242,0.08195147631852227,0.08340531702381031,0.5479119579395852,0.55041019445683
0.25,0.25,28,6czg_rmsd_0.25_rep_28.pdb,0.7272855043411255,0.813048779964447,0.42918601632118225,0.3746790885925293,4.772344589233398,4.851521968841553,0.43435239791870117,0.37844371795654297,0.40985529558438566,0.424762545151846,0.593011576277068,0.6363597579142545,0.8891892228096818,0.8238429756568535,1570056.5734619347,1567899.0938037387,0.07967593304295195,0.08120255002428904,0.5251565063208884,0.5260526887498189
0.25,0.25,29,6czg_rmsd_0.25_rep_29.pdb,0.7503502368927002,0.8685120940208435,0.45225074887275696,0.4301424026489258,4.796867370605469,4.9064717292785645,0.4588751792907715,0.4333934783935547,0.415064445912028,0.4490955217237416,0.6079222131670536,0.6868654037024903,0.8881078326080836,0.8040694589296132,1567086.6539771375,1564929.1743189415,0.08054301626166661,0.0824761483668536,0.5313926822353923,0.5325644408995498
